Feature,PSI,Drift_Status
Time,0.0,STABLE
V1,0.9712851279056287,SIGNIFICANT DRIFT
V2,0.01629920429079982,STABLE
V3,0.7629530269424594,SIGNIFICANT DRIFT
V4,0.12460130637969936,MODERATE DRIFT
V5,0.1580844160240688,MODERATE DRIFT
V6,0.06004303873028975,STABLE
V7,0.07502363553428443,STABLE
V8,0.04886952172155039,STABLE
V9,0.0549225232647034,STABLE
V10,0.03264714823201458,STABLE
V11,0.33276971777441733,SIGNIFICANT DRIFT
V12,0.20195256125954197,MODERATE DRIFT
V13,0.04225286884311189,STABLE
V14,0.07009665079162444,STABLE
V15,0.2116084302844502,MODERATE DRIFT
V16,0.005313812278315264,STABLE
V17,0.03699665917815031,STABLE
V18,0.02414955789849594,STABLE
V19,0.024790104480401413,STABLE
V20,0.053742556239501124,STABLE
V21,0.1043904226054449,MODERATE DRIFT
V22,0.1654001443510541,MODERATE DRIFT
V23,0.12310672550164717,MODERATE DRIFT
V24,0.12411534329221788,MODERATE DRIFT
V25,0.25004391913690033,SIGNIFICANT DRIFT
V26,0.1216477543315844,MODERATE DRIFT
V27,0.0425107574816833,STABLE
V28,0.5304880488147126,SIGNIFICANT DRIFT
Amount,0.004333075884997158,STABLE
