Feature,Mean_Abs_SHAP
V14,0.08094108771634358
V12,0.07892828937724332
V4,0.058868061208383865
V11,0.05525991279592379
V10,0.042563292698579926
V3,0.038827224863088546
V17,0.024245411712313626
V16,0.020397706053192625
V7,0.01488269336309039
V1,0.009979563833875231
V18,0.008499288246895487
V21,0.008120181317978986
V8,0.00780238465944117
V2,0.0075051051100701646
V9,0.00721949620697974
Amount,0.005871591788981533
V13,0.004989945645390485
V5,0.004860977163935182
Time,0.004821068704805088
V26,0.004499850352754484
V24,0.00412000206992881
V15,0.004026174999888293
V28,0.003971223509075992
V22,0.0038692761379580916
V6,0.0038220231036616785
V27,0.00368564236357026
V19,0.0035176115807452803
V25,0.0032951243252497806
V20,0.003224592386924506
V23,0.0029654973650308307
